Rank,Ways,rating,phi,comparisons,win %,beats best,beats median,beats worst,expansion,Qvist category,Last Update:,24-Apr-2020 21:14:55 UTC
1,Way of the Chameleon,2.86,0.25,110,85%,50%,94%,99%,Menagerie,Ways,Rate cards at:,https://sites.google.com/view/domrating
2,Way of the Mouse,1.97,0.20,139,72%,29%,88%,98%,Menagerie,Ways,,
3,Way of the Turtle,1.68,0.21,124,56%,24%,84%,98%,Menagerie,Ways,,
4,Way of the Rat,1.06,0.19,137,50%,15%,74%,96%,Menagerie,Ways,,
5,Way of the Owl,0.79,0.21,111,63%,12%,69%,95%,Menagerie,Ways,,
6,Way of the Ox,0.76,0.20,132,57%,11%,68%,95%,Menagerie,Ways,,
7,Way of the Horse,0.43,0.20,120,60%,8%,61%,93%,Menagerie,Ways,,
8,Way of the Goat,0.20,0.20,119,50%,7%,55%,91%,Menagerie,Ways,,
9,Way of the Squirrel,0.13,0.20,123,52%,6%,54%,90%,Menagerie,Ways,,
10,Way of the Pig,0.06,0.20,118,48%,6%,52%,90%,Menagerie,Ways,,
11,Way of the Sheep,-0.08,0.19,125,54%,5%,48%,88%,Menagerie,Ways,,
12,Way of the Otter,-0.14,0.21,115,54%,5%,47%,88%,Menagerie,Ways,,
13,Way of the Monkey,-0.31,0.20,114,45%,4%,43%,86%,Menagerie,Ways,,
14,Way of the Butterfly,-0.49,0.21,116,41%,4%,38%,83%,Menagerie,Ways,,
15,Way of the Mule,-0.85,0.20,117,43%,3%,30%,78%,Menagerie,Ways,,
16,Way of the Worm,-1.04,0.20,124,39%,2%,27%,75%,Menagerie,Ways,,
17,Way of the Seal,-1.19,0.20,121,43%,2%,24%,72%,Menagerie,Ways,,
18,Way of the Camel,-1.23,0.20,127,34%,2%,23%,71%,Menagerie,Ways,,
19,Way of the Mole,-1.52,0.20,117,35%,1%,18%,65%,Menagerie,Ways,,
20,Way of the Frog,-2.13,0.22,115,19%,1%,11%,50%,Menagerie,Ways,,
